month,c
1959.01,145
1959.02,145.7
1959.03,147.7
1959.04,145.6
1959.05,148.4
1959.06,149
1959.07,148.2
1959.08,148.8
1959.09,150.8
1959.1,151
1959.11,150.2
1959.12,151.4
1960.01,151
1960.02,149.5
1960.03,151.9
1960.04,155.9
1960.05,151.9
1960.06,153
1960.07,153.7
1960.08,152.8
1960.09,152.5
1960.1,154.1
1960.11,154.8
1960.12,152.9
1961.01,154.1
1961.02,155
1961.03,156.6
1961.04,155.7
1961.05,156.1
1961.06,156.3
1961.07,155.6
1961.08,156.5
1961.09,157.4
1961.1,157.7
1961.11,158.8
1961.12,159.5
1962.01,159.9
1962.02,160.2
1962.03,161.8
1962.04,162.1
1962.05,162.7
1962.06,160.9
1962.07,161.5
1962.08,162.6
1962.09,166.2
1962.1,164.5
1962.11,165.7
1962.12,165.6
1963.01,166.5
1963.02,165.7
1963.03,166.8
1963.04,166.5
1963.05,166.3
1963.06,168.1
1963.07,168.9
1963.08,170.9
1963.09,168.5
1963.1,168.5
1963.11,169.4
1963.12,171.9
1964.01,172.3
1964.02,174.3
1964.03,175.6
1964.04,175
1964.05,178.1
1964.06,178.9
1964.07,180.3
1964.08,181.5
1964.09,181.1
1964.1,182
1964.11,180
1964.12,184.8
1965.01,184.5
1965.02,186.4
1965.03,184.1
1965.04,187.8
1965.05,189.4
1965.06,188.9
1965.07,192.2
1965.08,192
1965.09,193.5
1965.1,199.7
1965.11,199.2
1965.12,201
1966.01,202.5
1966.02,204.6
1966.03,205.9
1966.04,208.4
1966.05,206.7
1966.06,208.8
1966.07,211.2
1966.08,210.1
1966.09,211.7
1966.1,210.9
1966.11,212
1966.12,212.3
1967.01,213.5
1967.02,213.8
1967.03,214.3
1967.04,215.1
1967.05,215
1967.06,216.8
1967.07,215.7
1967.08,218
1967.09,220.3
1967.1,217.7
1967.11,220.7
1967.12,224.2
1968.01,225.2
1968.02,227.4
1968.03,231.7
1968.04,231.2
1968.05,232.6
1968.06,235.9
1968.07,238.8
1968.08,240.4
1968.09,239
1968.1,240.5
1968.11,244.2
1968.12,241.4
1969.01,244.7
1969.02,247
1969.03,247.4
1969.04,249.5
1969.05,252.4
1969.06,251.5
1969.07,253.7
1969.08,256.6
1969.09,255.4
1969.1,259.2
1969.11,259.8
1969.12,260.8
1970.01,265.5
1970.02,265.9
1970.03,267.1
1970.04,267.4
1970.05,270.7
1970.06,271.4
1970.07,271.9
1970.08,273
1970.09,276
1970.1,276.5
1970.11,277.5
1970.12,281.2
1971.01,280.6
1971.02,281
1971.03,279.2
1971.04,282.7
1971.05,283.2
1971.06,286.4
1971.07,284.9
1971.08,287.2
1971.09,288
1971.1,288
1971.11,291.3
1971.12,293.6
1972.01,291.5
1972.02,295
1972.03,301.1
1972.04,301.8
1972.05,305.4
1972.06,305.9
1972.07,309.2
1972.08,310.9
1972.09,314.3
1972.1,319.8
1972.11,320.2
1972.12,321.5
1973.01,327
1973.02,331.3
1973.03,332.8
1973.04,334.6
1973.05,336.3
1973.06,340.1
1973.07,346.7
1973.08,344.9
1973.09,351.2
1973.1,352.9
1973.11,359.1
1973.12,360.3
1974.01,365.1
1974.02,369.3
1974.03,373
1974.04,377.3
1974.05,380.7
1974.06,383.1
1974.07,387.6
1974.08,393
1974.09,394.5
1974.1,396.8
1974.11,397.7
1974.12,396.1
1975.01,402.2
1975.02,404.8
1975.03,406.4
1975.04,405.5
1975.05,419.5
1975.06,421.7
1975.07,424.9
1975.08,429.4
1975.09,429.1
1975.1,429.8
1975.11,436.4
1975.12,439.3
1976.01,447.1
1976.02,443.6
1976.03,445.6
1976.04,450.2
1976.05,449.9
1976.06,457.9
1976.07,459.3
1976.08,463.1
1976.09,465.4
1976.1,470.1
1976.11,470.7
1976.12,476.9
1977.01,479.7
1977.02,486.5
1977.03,485.4
1977.04,490.1
1977.05,493.8
1977.06,492.8
1977.07,499
1977.08,497.7
1977.09,499.5
1977.1,507.6
1977.11,517.4
1977.12,516.4
1978.01,515.2
1978.02,524.2
1978.03,533.8
1978.04,535.9
1978.05,543.3
1978.06,549.5
1978.07,552.4
1978.08,557.2
1978.09,565.9
1978.1,566.3
1978.11,575.4
1978.12,584
1979.01,585.5
1979.02,592.9
1979.03,603.2
1979.04,599.4
1979.05,609.3
1979.06,622.9
1979.07,623
1979.08,637.8
1979.09,646.5
1979.1,649.4
1979.11,660.3
1979.12,663.3
1980.01,675.7
1980.02,678.4
1980.03,685
1980.04,685.4
1980.05,687
1980.06,687.4
1980.07,692.2
1980.08,702.4
1980.09,704
1980.1,713.8
1980.11,715.4
1980.12,726.2
1981.01,741
1981.02,745.5
1981.03,750.8
1981.04,754.7
1981.05,753.9
1981.06,760
1981.07,759.7
1981.08,763.6
1981.09,766.1
1981.1,768.4
1981.11,767.6
1981.12,774.7
1982.01,770.9
1982.02,781.6
1982.03,775.9
1982.04,776.1
1982.05,778.6
1982.06,781.1
1982.07,795.6
1982.08,790.5
1982.09,792.9
1982.1,802.2
1982.11,800.8
1982.12,805.1
1983.01,803.7
1983.02,801.7
1983.03,813.4
1983.04,815.2
1983.05,823.8
1983.06,833.1
1983.07,840
1983.08,841.4
1983.09,845.6
1983.1,849.8
1983.11,854
1983.12,852.6
1984.01,870.6
1984.02,861.8
1984.03,866.7
1984.04,877.3
1984.05,880.7
1984.06,893.6
1984.07,883.8
1984.08,887.4
1984.09,898
1984.1,891.5
1984.11,903.4
1984.12,901.1
1985.01,902.9
1985.02,914.2
1985.03,914.3
1985.04,924.5
1985.05,925.5
1985.06,922.5
1985.07,926.9
1985.08,933
1985.09,938.6
1985.1,940.5
1985.11,949.9
1985.12,952.1
1986.01,961
1986.02,954.3
1986.03,956.5
1986.04,943.7
1986.05,952.5
1986.06,955.7
1986.07,956.4
1986.08,954.6
1986.09,959.5
1986.1,967.3
1986.11,963.8
1986.12,976.2
1987.01,978
1987.02,1005.1
1987.03,1000
1987.04,1007.4
1987.05,1011.8
1987.06,1016.4
1987.07,1017.7
1987.08,1023.9
1987.09,1024.3
1987.1,1027.4
1987.11,1031.8
1987.12,1040
1988.01,1041.1
1988.02,1042.7
1988.03,1064.5
1988.04,1063.7
1988.05,1071.2
1988.06,1076
1988.07,1086.4
1988.08,1096.8
1988.09,1102.4
1988.1,1112
1988.11,1118.7
1988.12,1118.9
1989.01,1136.2
1989.02,1130
1989.03,1136.8
1989.04,1152.9
1989.05,1164.1
1989.06,1166.9
1989.07,1168.4
1989.08,1172.1
1989.09,1181.5
1989.1,1183.3
1989.11,1189.6
1989.12,1202.9
1990.01,1210.4
1990.02,1222.9
1990.03,1231.7
1990.04,1228.4
1990.05,1228.7
1990.06,1242.6
1990.07,1247
1990.08,1259.3
1990.09,1269.2
1990.1,1269.4
1990.11,1276.4
1990.12,1266.8
1991.01,1263.7
1991.02,1265.9
1991.03,1273.8
1991.04,1274.1
1991.05,1286
1991.06,1283
1991.07,1286.6
1991.08,1287.5
1991.09,1280.7
1991.1,1278.2
1991.11,1283.8
1991.12,1282.7
1992.01,1307.4
1992.02,1306.8
1992.03,1301.6
1992.04,1306.1
1992.05,1313
1992.06,1308.3
1992.07,1317.5
1992.08,1327.8
1992.09,1332.7
1992.1,1347.2
1992.11,1349.6
1992.12,1357.2
1993.01,1357.7
1993.02,1363.7
1993.03,1345.8
1993.04,1369.6
1993.05,1371.1
1993.06,1370.5
1993.07,1377.2
1993.08,1377.5
1993.09,1384.1
1993.1,1392
1993.11,1395.3
1993.12,1397.8
1994.01,1389.5
1994.02,1414.1
1994.03,1425.5
1994.04,1418.3
1994.05,1422.8
1994.06,1434.2
1994.07,1439.7
1994.08,1453.2
1994.09,1456.9
1994.1,1463.9
1994.11,1467.2
1994.12,1470.6
1995.01,1485
1995.02,1468
1995.03,1474.5
1995.04,1482.7
1995.05,1493.9
1995.06,1500
1995.07,1494.8
1995.08,1502.2
1995.09,1510.9
1995.1,1506
1995.11,1518.3
1995.12,1531.3
1996.01,1527.4
1996.02,1541.8
1996.03,1549.6
1996.04,1567.4
1996.05,1571
1996.06,1569.7
1996.07,1572.4
1996.08,1577.1
1996.09,1587
1996.1,1601.5
1996.11,1607.8
1996.12,1616
1997.01,1623.7
1997.02,1627.3
1997.03,1629.4
1997.04,1628.2
1997.05,1620.6
1997.06,1633
1997.07,1646.8
1997.08,1654.5
1997.09,1658.2
1997.1,1656.8
1997.11,1660.3
1997.12,1659.9
1998.01,1667.4
1998.02,1676
1998.03,1683.9
1998.04,1686.9
1998.05,1698.8
1998.06,1705.8
1998.07,1711.8
1998.08,1716.4
1998.09,1721.9
1998.1,1733.6
1998.11,1744
1998.12,1755.5
1999.01,1763
1999.02,1776.1
1999.03,1780.2
1999.04,1807.8
1999.05,1816.7
1999.06,1818.8
1999.07,1824.6
1999.08,1841.2
1999.09,1858
1999.1,1871.7
1999.11,1876.3
1999.12,1927.2
2000.01,1892.2
2000.02,1924.9
2000.03,1963.6
2000.04,1958.1
2000.05,1958.5
2000.06,1978
2000.07,1983.9
2000.08,1976.6
2000.09,2006.2
2000.1,2009.1
2000.11,2005.7
2000.12,2018.4
2001.01,2042.4
2001.02,2033.9
2001.03,2018.3
2001.04,2036.3
2001.05,2051.3
2001.06,2046.8
2001.07,2045.9
2001.08,2043.2
2001.09,2043.9
2001.1,2046.4
2001.11,2036.1
2001.12,2050.7
2002.01,2074.1
2002.02,2089.1
2002.03,2092.1
2002.04,2110.9
2002.05,2101.9
2002.06,2111.7
2002.07,2117.8
2002.08,2117.3
2002.09,2115.6
2002.1,2137.5
2002.11,2150.2
2002.12,2162.1
2003.01,2193.4
2003.02,2204.2
2003.03,2227.3
2003.04,2195.9
