Date,vwretd,ewretd,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
19260130,0.0003,0.0232,0.1433,0.0484,-0.0014,0.0264,0.0246,-0.003,-0.0069,0.0107,0.0015,-0.0036
19260227,-0.0319,-0.0531,-0.0456,-0.0715,-0.0535,-0.0705,-0.0693,-0.0512,-0.0456,-0.0542,-0.0361,-0.0212
19260331,-0.0647,-0.0969,-0.1336,-0.1074,-0.1237,-0.1087,-0.0907,-0.095,-0.0963,-0.08,-0.0698,-0.0521
19260430,0.037,0.0314,0.0353,0.0101,0.004,0.047,0.0627,0.0294,0.0407,0.0405,0.0329,0.0374
19260528,0.0145,0.0036,0.0093,-0.0175,-0.0073,0.0226,0.0173,-0.0053,0.011,0.0116,0.016,0.0162
19260630,0.0556,0.0511,0.0376,0.0439,0.064,0.0367,0.0376,0.0286,0.0564,0.0461,0.0603,0.0583
19260731,0.0287,0.0132,0.0033,0.0211,-0.0002,0.0089,0.0044,0.0281,0.0181,0.0048,0.034,0.0339
19260831,0.0277,0.0277,0.0238,0.032,0.0202,0.0247,0.0356,0.0289,0.0248,0.0197,0.0067,0.0349
19260930,0.0025,-0.0062,-0.009,-0.012,-0.0103,0.0062,0.0089,-0.0084,-0.014,0.0095,-0.0035,0.005
19261030,-0.0279,-0.0311,-0.0139,-0.0297,-0.0379,-0.0484,-0.0309,-0.0134,-0.0489,-0.0299,-0.0283,-0.0257
19261130,0.0276,0.0236,0.0045,0.0356,0.0149,0.0302,0.0329,0.0338,0.0423,0.0323,0.0271,0.0255
19261231,0.0293,0.026,0.0194,0.0242,0.0687,0.0072,0.0342,0.0207,0.0101,0.0323,0.0312,0.0301
19270131,0.0018,0.0105,0.0167,0.0198,0.0111,0.0294,0.018,-0.002,0.0174,0.0078,0.0077,-0.0031
19270228,0.0452,0.0565,0.0927,0.0762,0.0656,0.0558,0.0608,0.067,0.0605,0.0377,0.0447,0.0424
19270331,0.0067,-0.0192,-0.0808,-0.0136,-0.0371,-0.0059,-0.0325,-0.0348,-0.002,-0.0147,-0.0011,0.0174
19270430,0.0068,0.0085,0.0361,0.0239,0.0042,-0.0059,0.0178,0.0167,0.0028,-0.0058,-0.0016,0.0101
19270531,0.0571,0.0618,0.0725,0.0836,0.0932,0.0669,0.0447,0.0698,0.0782,0.0578,0.0699,0.0507
19270630,-0.0203,-0.0192,-0.0365,-0.0402,-0.0046,-0.0088,-0.0111,0.0042,-0.021,-0.0158,-0.0366,-0.0185
19270730,0.0757,0.0585,0.0726,0.0499,0.0524,0.0279,0.0432,0.0495,0.0705,0.0698,0.0559,0.0864
19270831,0.0255,0.0036,0.006,-0.015,0.0016,-0.0031,0.0049,-0.0169,0.006,0.0071,0.0195,0.0355
19270930,0.0469,0.0327,0.0009,0.0247,0.0144,0.0238,0.0259,0.0605,0.06,0.0503,0.055,0.0448
19271031,-0.0395,-0.0385,-0.0534,-0.0601,-0.0571,-0.0183,-0.0256,-0.018,-0.0428,-0.03,-0.05,-0.0394
19271130,0.0693,0.0974,0.1478,0.0871,0.0953,0.1152,0.069,0.0689,0.077,0.074,0.0773,0.0643
19271231,0.0231,0.03,0.0525,0.0094,0.0185,0.0222,0.0322,0.034,0.0364,0.0371,0.0395,0.0153
19280131,-0.0029,0.0327,0.0897,0.0443,0.0563,0.022,0.0059,0.0371,0.0059,0.0005,0.0168,-0.013
19280229,-0.0136,-0.0224,-0.0184,-0.015,-0.0216,-0.0363,-0.0321,-0.0283,-0.0226,-0.0334,-0.0229,-0.0059
19280331,0.0898,0.0709,0.0293,0.0573,0.0717,0.0985,0.0615,0.0851,0.0728,0.0783,0.0731,0.0983
19280430,0.0429,0.0864,0.2257,0.1838,0.0683,0.0779,0.0581,0.0819,0.0642,0.0356,0.0449,0.0363
19280531,0.0195,0.0378,0.1161,0.0339,0.0378,-0.0048,0.0243,0.0283,0.0205,0.0205,0.0203,0.0183
19280630,-0.046,-0.0683,-0.1076,-0.1226,-0.0797,-0.0528,-0.0784,-0.0534,-0.0473,-0.0618,-0.0582,-0.0379
19280731,0.0103,0.0036,0.0157,-0.0017,0.0206,0.0102,0.0045,0,0.0105,-0.005,0.0193,0.0103
19280831,0.068,0.0573,0.0003,0.0398,0.0514,0.0381,0.0671,0.0882,0.0756,0.0726,0.0766,0.0654
19280929,0.031,0.0501,0.1209,0.0609,0.0594,0.0473,0.0397,0.0731,0.0501,0.053,0.0331,0.0226
19281031,0.0208,0.0163,0.0337,0.0513,0.0281,0.0138,0.0191,-0.002,0.0069,0.0077,0.0368,0.0199
19281130,0.1207,0.1165,0.1015,0.232,0.1078,0.0988,0.1218,0.1204,0.1231,0.0867,0.1279,0.1222
19281231,0.0038,-0.0049,-0.0448,-0.0304,-0.0075,-0.0175,0.0101,0.0164,-0.0086,0.0367,0.0185,-0.0023
19290131,0.0532,0.0331,0.0443,0.0057,0.0153,0.0023,0.038,0.0284,0.0142,0.0433,0.0638,0.0581
19290228,-0.001,0.0064,-0.0179,-0.0054,0.0136,0.0096,0.0035,0.0182,0.0133,0.0097,0.0007,-0.0049
19290328,-0.0074,-0.0322,-0.0196,-0.0394,-0.0447,-0.05,-0.0344,-0.0347,-0.041,-0.0297,-0.0149,0.0037
19290430,0.0178,0.014,0.0045,-0.0124,0.011,0.0298,0.0195,0.0077,0.0407,0.0026,0.0057,0.0216
19290531,-0.0558,-0.0895,-0.142,-0.1408,-0.1338,-0.1101,-0.0859,-0.0886,-0.0788,-0.0733,-0.0373,-0.0511
19290629,0.099,0.0735,0.0802,0.0615,0.0603,0.0497,0.0906,0.0622,0.108,0.092,0.1086,0.1004
19290731,0.0456,0.0194,0.0095,-0.0144,0.0548,0.0258,0.016,0.0126,0.0462,0.011,0.0362,0.055
19290830,0.0842,0.0261,-0.0202,0.0032,-0.0428,0.0313,0.0129,0.0328,0.052,0.0412,0.077,0.1012
19290930,-0.0495,-0.0426,-0.0445,-0.064,-0.0585,-0.059,-0.0178,-0.036,-0.022,-0.037,-0.0396,-0.056
19291031,-0.1957,-0.2124,-0.2135,-0.2512,-0.2552,-0.2358,-0.2377,-0.2042,-0.2373,-0.2009,-0.2049,-0.1869
19291127,-0.1227,-0.1215,-0.1393,-0.1298,-0.1352,-0.1267,-0.1564,-0.1124,-0.123,-0.127,-0.1002,-0.1262
19291231,0.0178,-0.0255,-0.0666,-0.0699,0.0102,-0.03,-0.0091,-0.0127,0.0127,-0.0064,0.0266,0.0224
19300131,0.0555,0.1085,0.2509,0.1658,0.116,0.152,0.0722,0.0986,0.0698,0.0533,0.0492,0.0515
19300228,0.0264,0.032,0.0489,0.0489,0.0103,0.0574,0.0504,0.012,0.0018,0.0322,0.0299,0.0257
19300331,0.0764,0.1024,0.1005,0.1583,0.1031,0.0847,0.1142,0.1211,0.092,0.075,0.0683,0.0739
19300430,-0.0218,-0.0414,-0.0757,-0.0273,-0.0518,-0.0356,-0.0405,-0.0178,-0.0442,-0.0592,-0.0392,-0.012
19300529,-0.0128,-0.0384,-0.0837,-0.0879,-0.0329,-0.0359,-0.0316,-0.0385,-0.0291,-0.0387,-0.0077,-0.0076
19300630,-0.1574,-0.1874,-0.2101,-0.239,-0.2245,-0.2119,-0.2038,-0.1892,-0.1748,-0.1802,-0.1629,-0.1486
19300731,0.0409,0.0391,0.0434,0.0027,0.0266,0.0499,0.0619,0.0431,0.0403,0.0357,0.0448,0.0403
19300829,0.0031,-0.0187,-0.0608,-0.0084,-0.0455,-0.0151,-0.022,-0.0038,-0.0094,-0.0089,0.0003,0.0071
19300930,-0.1244,-0.1497,-0.1163,-0.2278,-0.172,-0.1615,-0.1443,-0.1405,-0.1267,-0.1555,-0.1232,-0.1192
19301031,-0.084,-0.095,-0.1077,-0.1104,-0.1089,-0.104,-0.1206,-0.0895,-0.0924,-0.0786,-0.0974,-0.0796
19301129,-0.0259,-0.0246,-0.0621,-0.0366,-0.0339,-0.0257,-0.0036,-0.0305,-0.0257,-0.0323,-0.0308,-0.0245
19301231,-0.0775,-0.1373,-0.1845,-0.1729,-0.1254,-0.1665,-0.1083,-0.0932,-0.0948,-0.0984,-0.095,-0.068
19310131,0.0621,0.1413,0.2768,0.1844,0.2124,0.1374,0.1372,0.0995,0.0855,0.0848,0.0845,0.0505
19310228,0.109,0.1576,0.2357,0.2681,0.1724,0.1417,0.1203,0.1563,0.1332,0.105,0.1114,0.1047
19310331,-0.0644,-0.0636,-0.1143,-0.0554,-0.0895,-0.0595,-0.0762,-0.0547,-0.0612,-0.0848,-0.0844,-0.0588
19310430,-0.0985,-0.1512,-0.2413,-0.1986,-0.1736,-0.1762,-0.1534,-0.1615,-0.1172,-0.1347,-0.1241,-0.085
19310529,-0.133,-0.1402,-0.1451,-0.1386,-0.1224,-0.1532,-0.1213,-0.1384,-0.1373,-0.1542,-0.1639,-0.1253
19310630,0.1377,0.1801,0.2093,0.1807,0.1694,0.1952,0.133,0.1493,0.1382,0.1855,0.1659,0.1279
19310731,-0.0638,-0.0706,-0.0596,-0.0492,-0.066,-0.0737,-0.0804,-0.0698,-0.0673,-0.0577,-0.0764,-0.0613
