date,id,bid,ask,dur
19260130,19260315.2,3.674,.,44
19260227,19260615.3,3.292,2.977,108
19260331,19260615.3,3.271,2.973,76
19260430,19260615.3,2.969,2.479,46
19260528,19260915.2,3.332,3.127,110
19260630,19260915.2,3.123,2.831,77
19260731,19260915.2,3.407,3.002,46
19260831,19261215.3,3.584,3.264,106
19260930,19261215.3,3.833,3.537,76
19261030,19261215.3,3.679,3.435,46
19261130,19270315.2,3.315,3.1,105
19261231,19270315.2,3.334,3.031,74
19270131,19270315.2,3.65,3.129,43
19270228,19270615.3,3.467,3.361,107
19270331,19270615.3,3.462,3.313,76
19270430,19270615.3,3.702,3.457,46
19270531,19270915.3,3.383,3.1,107
19270630,19270915.3,3.502,3.062,77
19270730,19270915.3,3.298,2.818,47
19270831,19271215.2,2.822,2.61,106
19270930,19271215.2,2.93,2.635,76
19271031,19271215.2,2.907,2.409,45
19271130,19280315.3,3.298,3.084,106
19271231,19280315.3,3.576,3.274,75
19280131,19280315.3,3.995,.,44
19280229,19280615.3,3.497,3.286,107
19280331,19280615.3,3.516,3.219,76
19280430,19280615.3,4.045,3.556,46
19280531,19280915.1,3.942,3.836,107
19280630,19280915.1,3.999,3.853,77
19280731,19280915.1,4.138,3.894,46
19280831,19281215.3,4.596,4.275,106
19280929,19281215.3,4.964,4.67,77
19281031,19281215.3,4.95,4.449,45
19281130,19290315.3,4.393,4.178,105
19281231,19290315.3,4.58,4.122,74
19290131,19290315.3,4.926,4.401,43
19290228,19290615.3,4.759,4.442,107
19290328,19290615.3,4.862,4.434,79
19290430,19290615.3,5.401,4.913,46
19290531,19290915.3,5.211,4.999,107
19290629,19290915.3,4.724,4.435,78
19290731,19290915.3,5.36,4.871,46
19290830,19291215.3,4.704,4.493,107
19290930,19291215.3,4.91,4.613,76
19291031,19291215.3,4.41,3.911,45
19291127,19300315.31,3.304,3.096,108
19291231,19300315.31,3.094,2.641,74
19300131,19300315.31,4.013,3.494,43
19300228,19300616.3,3.241,3.033,108
19300331,19300616.3,2.901,2.61,77
19300430,19300616.3,3.12,2.644,47
19300529,19300915.3,2.235,2.028,109
19300630,19300915.3,1.889,1.596,77
19300731,19300915.3,1.589,1.099,46
19300829,19301215.3,1.843,1.634,108
19300930,19301215.3,1.567,1.271,76
19301031,19301215.3,1.945,1.445,45
19301129,19310615.3,-1.074,-1.188,195
19301231,19310216.4,1.644,0.254,47
